SR. NO.,STTN FROM,STTN TO,RR NO.,RR DATE,CONSIGNOR NAME,CONSIGNEE NAME,BOOKED OWNGRLY.,BOOKED WGONTYPE,BOOKED WGON NO,PCC WT,CC WT,TARE WT,BOOKED NO OF PKGS
1,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,SE,BCN,60456,59,86.2,27.2,1176
2,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,SR,BCN,32845,59,86.2,27.2,1176
3,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,CR,BCNA,64194,62,86.6,24.6,1236
4,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,CR,BCNA,62998,62,86.6,24.6,1236
5,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,SR,BCN,60123,59,86.2,27.2,1176
6,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,NR,BCNAHS,11010,62,86.6,24.6,1236
7,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,WC,BCNAHS,35828,62,86.6,24.6,1236
8,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,NR,BCNA,51724,62,86.6,24.6,1236
9,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,SR,BCNA,81661,62,86.6,24.6,1236
10,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,NR,BCNA,62263,62,86.6,24.6,1236
11,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,NC,BCNAHS,21809,62,86.6,24.6,1236
12,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,NR,BCN,62564,59,86.2,27.2,1176
13,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,NR,BCNA,66615,62,86.6,24.6,1236
14,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,SR,BCNAHS,60587,62,86.6,24.6,1236
15,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,WR,BCNA,30768,62,86.6,24.6,1236
16,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,ER,BCN,60840,59,86.2,27.2,1176
17,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,SE,BCNAHS,57390,62,86.6,24.6,1236
18,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,NR,BCNA,60405,62,86.6,24.6,1236
19,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,NW,BCNAHS,10141,62,86.6,24.6,1236
20,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,CR,BCNA,63450,62,86.6,24.6,1236
21,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,CR,BCN,31747,59,86.2,27.2,1176
22,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,SE,BCNAHS,22777,62,86.6,24.6,1236
23,BGK,PNCS,212027222,20-09-2020,RCA LOGISTICS PVT LTD,RCA LOGISTICS PVT LTD,RK,RKP,212027222,0,0,0,0
